IDP1,PupaeSum,NumCriaderos,PupaeIndex,Illiteracy,Unemployment,Overcrowding,LarvaePresence,NumChildren,NumAdults,InterruptFreq,InterruptDurHrs,TrashCollectPerWk,LargeSolidColl,SewerConn,FumigLWs,AbateLWs,BiolarvLWs,CanopyUse,ProtectMesh,BreedingSites,VolCriadero,OutsideLocation,DirtyWater,WaterVol,week0,week1,week2
47411,5,1,5,6.284872479,6.332676421,3.224200954,1,1,4,0,0,1,1,1,1,0,1,1,0,1,151250,1,0,1,0.100000001,0,0
38898,7,1,7,6.284872479,6.332676421,3.224200954,1,0,2,1,2,3,1,1,0,0,1,1,0,1,32000,1,0,1,0.080538297,0,0.938923394
37335,11,1,11,6.284872479,6.332676421,3.224200954,1,0,3,1,2,3,1,0,0,0,0,1,0,1,125000,1,0,1,40.53923561,18.39161506,13.12246416
38944,6,1,6,6.284872479,6.332676421,3.224200954,1,2,2,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,0.080538297,0,0.938923394
41103,6,1,6,6.284872479,6.332676421,3.224200954,1,2,4,1,3,3,0,0,0,0,1,1,0,1,108000,1,0,1,0,0,0
16710,1,1,1,6.284872479,6.332676421,3.224200954,1,0,2,1,8,4,0,0,0,0,1,1,0,1,97470,1,0,1,1.600000024,1.56376811,5.98561066
38933,8,1,8,6.284872479,6.332676421,3.224200954,1,1,3,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,0.080538297,0,0.938923394
16631,1,1,1,6.284872479,6.332676421,3.224200954,1,2,2,1,8,4,0,0.38,0,0,1,1,0,1,67280,1,0,1,1.600000024,1.56376811,5.98561066
45904,3,1,3,6.284872479,6.332676421,3.224200954,1,2,4,0,0,3,1,1,0,0,1,1,0,1,151250,1,1,1,0,0,0
4952,44,2,22,5.463824492,8.686086838,3.874313578,1,1.839956349,3,0,0,3,1,0,0,1,0,1,0,0,60,0,0,244,0,16.53396157,0.255685409
2958,16,1,16,5.049169612,8.395393104,3.788495599,1,2,4,0,0,3,1,0,1,0,1,1,0,1,200,0,0,68,1.028341472,4.24428434,41.68733117
2940,3,1,3,5.049169612,8.395393104,3.788495599,1,1,3,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,1.028341472,4.24428434,41.68733117
2963,6,1,6,5.049169612,8.395393104,3.788495599,1,3,2,0,0,3,1,0,0,0,1,1,0,1,4,1,1,1,1.028341472,4.24428434,41.68733117
2955,3,1,3,5.049169612,8.395393104,3.788495599,1,1,4,0,0,3,1,0,0,0,1,1,0,1,500,1,0,118,1.028341472,4.24428434,41.68733117
2968,3,1,3,5.049169612,8.395393104,3.788495599,0,1,4,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,1.028341472,4.24428434,41.68733117
2939,7,1,7,5.049169612,8.395393104,3.788495599,1,2.02452381,5,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,1.028341472,4.24428434,41.68733117
2972,34,1,34,5.049169612,8.395393104,3.788495599,1,1,5,0,0,3,1,0,1,0,1,1,0,1,150,1,1,51,1.028341472,4.24428434,41.68733117
3005,19,1,19,5.049169612,8.395393104,3.788495599,1,1.920404762,3,0,0,3,1,0,0,0,1,1,0,1,20,1,0,67,1.028341472,4.24428434,41.68733117
2953,15,1,15,5.049169612,8.395393104,3.788495599,1,3,5,0,0,3,1,0,1,0,1,1,0,1,1800,1,0,28,1.028341472,4.24428434,41.68733117
3019,6,1,6,5.049169612,8.395393104,3.788495599,1,3,2,0,0,3,1,0,0,0,1,1,0,1,200,1,0,68,1.028341472,4.24428434,41.68733117
2932,13,1,13,5.049169612,8.395393104,3.788495599,1,1,2,0,0,3,1,0,1,0,1,1,0,0,2,1,1,64,1.028341472,4.24428434,41.68733117
3113,1,1,1,5.049169612,8.395393104,3.788495599,1,2,5,0,0,3,1,0,0,0,1,1,0,1,200,1,0,68,1.028341472,4.24428434,41.68733117
3008,26,1,26,5.049169612,8.395393104,3.788495599,1,1,2,0,0,3,1,0,1,0,1,0,1,1,200,1,0,68,1.028341472,4.24428434,41.68733117
2943,12,1,12,5.049169612,8.395393104,3.788495599,1,3,2,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,1.028341472,4.24428434,41.68733117
3561,2,1,2,1.956753173,7.54968439,2.305021335,1,3,2,0,0,3,1,1,0,0,1,1,0,1,192280,0,0,1,0,0,0.45319997
3504,5,1,5,1.956753173,7.54968439,2.305021335,1,0,2,0,0,3,1,1,0,0,1,1,0,1,396000,1,0,1,0,0,0.45319997
3597,12,2,6,1.956753173,7.54968439,2.305021335,1,0,4,0,0,3,1,1,0,0,1,1,0,1,30000,1,0,2,0,0,0.45319997
3583,7,1,7,1.956753173,7.54968439,2.305021335,1,0,2,0,0,3,1,1,1,0,1,1,1,1,297000,1,0,1,0,0,0.45319997
3534,2,1,2,1.956753173,7.54968439,2.305021335,1,1,9,0,0,3,1,1,0,0,1,1,0,1,141680,1,0,1,0,0,0.45319997
