"","X","LarvSum","NumCriaderos","LarvaeIndex","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"104",104,2,1,2,5.04916961196096,8.39539310440567,3.78849559896781,1,2,4,0,0,3,1,0,1,0,1,1,1,0,200,0,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"105",105,2,1,2,5.04916961196096,8.39539310440567,3.78849559896781,1,1,2,0,0,3,1,0,1,0,1,1,1,0,2,1,1,64,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"106",106,2,1,2,5.04916961196096,8.39539310440567,3.78849559896781,1,1,2,0,0,3,1,0,1,0,1,0,1,0,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"107",107,2,1,2,5.04916961196096,8.39539310440567,3.78849559896781,1,2,5,0,0,3,1,0,1,0,1,1,1,0,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"108",108,2,1,2,5.04916961196096,8.39539310440567,3.78849559896781,1,1,4,0,0,3,1,0,0,0,1,1,0,0,500,1,0,118,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"109",109,2,1,2,1.95675317293175,7.54968438968304,2.30502133528839,1,0,2,0,0,3,1,1,0,0,1,1,0,0,396000,1,0,1,-79.8999,-2.19712,0,0,0.453199970434668
"110",110,1,1,1,1.95675317293175,7.54968438968304,2.30502133528839,1,0,2,0,0,3,1,1,0,0,1,1,0,0,106260,1,0,1,-79.90411,-2.19928,0,0,0.453199970434668
"111",111,5,1,5,1.95675317293175,7.54968438968304,2.30502133528839,1,3,2,0,0,3,1,1,0,0,1,1,0,0,192280,0,0,1,-79.90377,-2.19692,0,0,0.453199970434668
"112",112,2,1,2,1.95675317293175,7.54968438968304,2.30502133528839,1,0,2,0,0,3,1,1,1,0,1,1,1,0,297000,1,0,1,-79.90205,-2.19751,0,0,0.453199970434668
"113",113,2,1,2,1.95675317293175,7.54968438968304,2.30502133528839,1,0,4,0,0,3,1,1,0,0,1,1,0,0,24000,1,0,1,-79.90328,-2.1994,0,0,0.453199970434668
"114",114,4,1,4,1.95675317293175,7.54968438968304,2.30502133528839,1,0,3,0,0,3,1,1,0,0,1,1,0,0,48000,1,0,1,-79.90328,-2.19952,0,0,0.453199970434668
"115",115,6,1,6,5.54427622438589,12.3251068940146,4.584737788921,1,1,4,0,0,3,1,1,0,0,1,0,0,0,4,1,1,1,-79.87638,-2.2805,2.56415737613084,10.8406878644379,0
"116",116,28,2,14,3.64583542633338,11.3181509082553,3.27499997615814,1,1,2,1,4,3,1,1,0,0,0,1,0,0,86350,1,0,2,-79.88138,-2.25848,3.401069011122,36.1650256475139,20.0215768682467
"117",117,2,1,2,3.64583542633338,11.3181509082553,3.27499997615814,1,1,3,0,0,3,1,1,1,0,1,0,1,0,900,1,1,1,-79.883005,-2.276463,0.949999988079071,2.375,2.77499997615814
"118",118,19,1,19,3.64583542633338,11.3181509082553,3.27499997615814,1,1,7,1,2,3,1,1,0,0,1,1,0,0,201840,1,0,1,-79.88319,-2.25635,3.401069011122,36.1650256475139,20.0215768682467
"119",119,22,1,22,3.64583542633338,11.3181509082553,3.27499997615814,1,2,3,1,12,4,1,1,0,0,1,1,0,0,67280,1,0,1,-79.88777,-2.28216,19.0959609821184,0.614884358667575,1.29433587615642
"120",120,72,1,72,3.64583542633338,11.3181509082553,3.27499997615814,1,0,1,1,12,3,1,1,0,0,1,1,0,0,0,1,0,1,-79.8868,-2.2843,0.614884358667575,1.29433587615642,4.57342516780253
"121",121,16,1,16,3.64583542633338,11.3181509082553,3.27499997615814,1,2,7,1,12,4,1,1,0,0,1,1,0,0,63916,1,0,1,-79.88839,-2.283505,19.0959609821184,0.614884358667575,1.29433587615642
"122",122,29,1,29,3.64583542633338,11.3181509082553,3.27499997615814,1,1,1,1,2,3,0,1,0,0,1,1,0,0,144000,0,0,1,-79.88481,-2.28006,0,0.100000001490116,0.057484839951752
"123",123,6,1,6,3.64583542633338,11.3181509082553,3.27499997615814,1,1,7,1,2,3,1,1,0,0,1,1,0,0,500,1,0,1,-79.88308,-2.25635,3.401069011122,36.1650256475139,20.0215768682467
"124",124,21,1,21,3.64583542633338,11.3181509082553,3.27499997615814,1,2,3,1,3,3,0,1,1,0,1,1,1,0,288000,1,0,1,-79.88839,-2.28201,0,0.100000001490116,0.057484839951752
"125",125,25,1,25,3.64583542633338,11.3181509082553,3.27499997615814,1,1,6,1,2,3,1,1,0,0,1,0,0,0,72000,1,0,1,-79.88318,-2.25716,3.401069011122,36.1650256475139,20.0215768682467
