"","KEYSC","IDP1","PupaeSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","Illiteracy","Unemployment","Overcrowding","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2","week3","week4","week5"
"105","FORTIN 1 S01",37293,15,1,15,"2015-05-07",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,7,1,2,3,1,0,0,0,0,1,0,1,67280,0,0,1,-79.951,-2.11776,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"106","FORTIN 1 S01",37288,7,1,7,"2015-05-07",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,5,1,2,3,1,0,0,0,0,1,0,1,8e+05,1,0,1,-79.95107,-2.118165,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"107","FORTIN 1 S01",37182,6,1,6,"2015-05-05",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,3,0,0,3,1,0,0,0,0,1,0,1,5e+05,1,0,1,-79.95172,-2.1183,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"108","FORTIN 1 S01",37180,15,1,15,"2015-05-05",123,4.68199228631547,8.3822074344322,3.15364306760217,1,7,4,0,0,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9519,-2.11889,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"109","FORTIN 1 S01",36995,8,1,8,"2015-05-04",123,4.68199228631547,8.3822074344322,3.15364306760217,1,0,2,1,3,3,1,0,0,0,0,1,0,1,1500,1,0,1,-79.95249,-2.117515,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"110","FORTIN 1 S01",37286,5,1,5,"2015-05-07",123,4.68199228631547,8.3822074344322,3.15364306760217,1,0,4,1,12,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95111,-2.118355,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"111","FORTIN 1 S01",37229,9,1,9,"2015-05-06",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,2,1,2,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95139,-2.117536,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"112","FORTIN 1 S01",37025,24,1,24,"2015-05-04",123,4.68199228631547,8.3822074344322,3.15364306760217,1,2,4,1,12,3,1,0,0,0,0,1,0,1,400,1,0,1,-79.95227,-2.11899,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"113","FORTIN 1 S01",37243,17,1,17,"2015-05-06",123,4.68199228631547,8.3822074344322,3.15364306760217,1,2,4,0,0,7,1,0,0,0,0,1,0,1,1125,1,0,1,-79.95146,-2.118815,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
"114","FORTIN 1 S01",37058,35,2,18,"2015-05-04",123,4.68199228631547,8.3822074344322,3.15364306760217,1,1,4,1,2,3,1,0,0,0,0,1,0,1,9000,1,0,2,-79.9522,-2.11906,39.6577286507866,18.0991417865617,12.8008587692668,0.649999976158142,0.849141448380378,0.400000005960465
