"","IDP1","LarvSum","NumCriaderos","PupaeIndex","Date","CEpiWeek","SEStatus","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"97",38793,69,2,34.5,"2015-06-03",127,"Media",1,0,5,1,2,4,1,0,0,0,0,1,0,1,151380,1,0,2,-79.95315,-2.1092,0.080538297099149,0,0.938923393640136
"98",16794,2,1,2,"2015-03-11",115,"Media",1,1,2,1,8,4,1,0,0,0,1,1,0,1,336400,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"99",38870,5,1,5,"2015-06-04",127,"Media",1,3,2,1,2,3,1,1,0,0,1,1,0,1,144000,1,0,1,-79.9532,-2.10929,0.080538297099149,0,0.938923393640136
"100",16651,70,1,70,"2015-03-13",115,"Media",1,0,5,1,4,3,1,0,0,0,1,1,0,1,33640,1,0,1,-79.9554,-2.098045,1.60000002384185,1.56376810969689,5.9856106604461
"101",37341,14,1,14,"2015-05-08",123,"Media",1,0,5,1,2,3,1,0,0,0,0,1,0,1,360000,1,0,1,-79.95069,-2.11708,40.5392356078982,18.3916150567124,13.1224641646427
"102",16631,105,1,105,"2015-03-09",115,"Media",1,2,2,1,8,4,0,NA,0,0,1,1,0,1,67280,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"103",47465,9,1,9,"2016-07-14",185,"Media",1,3,4,0,0,3,1,0,1,0,0,1,0,1,151250,1,0,1,-79.95178,-2.10586,0.100000001490116,0,0
"104",16693,2,1,2,"2015-03-11",115,"Media",1,3,2,1,8,4,1,0,0,0,1,1,0,1,67280,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"105",16704,67,1,67,"2015-03-13",115,"Media",1,1,1,1,2,3,1,0,0,0,1,1,0,1,67280,1,0,1,-79.95409,-2.098115,1.60000002384185,1.56376810969689,5.9856106604461
"106",47411,8,1,8,"2016-07-13",185,"Media",1,1,4,0,0,1,1,1,1,0,1,1,0,1,151250,1,0,1,-79.95319,-2.10521,0.100000001490116,0,0
"107",5160,14,2,7,"2014-01-30",57,"Baja",1,NA,3,0,0,3,1,0,0,1,0,1,1,0,100,1,0,60,-79.96073,-2.11048,0,16.5339615696005,0.255685408704451
"108",3005,12,1,12,"2014-05-21",73,"Baja",1,NA,3,0,0,3,1,0,0,0,1,1,0,1,20,1,0,67,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"109",3008,2,1,2,"2014-05-21",73,"Baja",1,1,2,0,0,3,1,0,1,0,1,0,1,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"110",3019,1,1,1,"2014-05-21",73,"Baja",1,3,2,0,0,3,1,0,0,0,1,1,0,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"111",2968,3,1,3,"2014-05-21",73,"Baja",0,1,4,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"112",2972,3,1,3,"2014-05-21",73,"Baja",1,1,5,0,0,3,1,0,1,0,1,1,0,1,150,1,1,51,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"113",2958,2,1,2,"2014-05-21",73,"Baja",1,2,4,0,0,3,1,0,1,0,1,1,0,1,200,0,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"114",2940,1,1,1,"2014-05-19",73,"Baja",1,1,3,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"115",2939,2,1,2,"2014-05-19",73,"Baja",1,NA,5,0,0,3,1,0,1,0,1,1,0,1,200,1,0,68,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"116",2963,2,1,2,"2014-05-21",73,"Baja",1,3,2,0,0,3,1,0,0,0,1,1,0,1,4,1,1,1,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"117",2955,2,1,2,"2014-05-19",73,"Baja",1,1,4,0,0,3,1,0,0,0,1,1,0,1,500,1,0,118,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
"118",2953,1,1,1,"2014-05-19",73,"Baja",1,3,5,0,0,3,1,0,1,0,1,1,0,1,1800,1,0,28,-79.96209,-2.11592,1.02834147170985,4.24428434036148,41.6873311692169
