"","IDP1","PupaeSum","NumCriaderos","PupaeIndex","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"55",7300,8,1,8,1,2,3,0,0.0799999999999968,3,1,0,0,0,0,0,0,0,0,1,1,64,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"56",7323,6,1,6,1,4,4,0,0.0799999999999968,3,1,0,0,0,0,0,0,0,5,1,1,116,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"57",7318,27,1,27,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"58",7313,4,1,4,1,3,6,0,0,3,1,0,0,0,0,0,0,0,10,1,1,29,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"59",7297,4,1,4,1,4,8,0,0,3,1,0,0,0,0,0,0,0,0,1,0,29,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"60",7306,86,2,43,1,0,4,0,0,3,1,0,0,0,0,0,0,0,20.5,1,1,18,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"61",7316,10,2,5,0,1,3,0,-3.08642000845794e-15,3,1,0,0,0,0,0,0,0,3,1,1,184,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"62",7299,9,1,9,1,1,8,0,0,3,1,0,0,0,0,0,0,0,2400,1,1,65,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"63",7298,25,2,12.5,1,4,2,0,0,3,1,0,0,0,0,0,0,0,600,1,0,150,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"64",7325,56,2,28,1,1,4,0,0,3,1,0,0,0,0,0,0,0,1801.5,1,1,185,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"65",7335,6,1,6,1,4,5,0,0,3,1,0,0,0,0,0,0,0,1,1,1,23,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"66",7342,55,2,27.5,1,2,4,0,0,3,1,0,0,0,0,0,0,0,250.5,1,1,141,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"67",9667,1,1,1,1,0,1,0,0,7,1,0,1,0,1,1,0,1,18000,1,0,1,-79.88657,-2.22181,0,0.050000000745058,0.527621533177827
"68",9732,12,1,12,1,3,2,0,0,7,1,0,1,0,1,1,0,1,312852,0,0,1,-79.88683,-2.22163,0,0.050000000745058,0.527621533177827
"69",9651,6,1,6,1,0,4,0,0,7,1,0,1,0,1,1,0,1,268037,0,0,1,-79.88643,-2.2218,0,0.050000000745058,0.527621533177827
"70",9754,51,2,25.5,1,1,4,0,0,7,1,0,1,0,1,1,0,1,162003.5,1,1,2,-79.887,-2.221163,0,0.050000000745058,0.527621533177827
"71",9568,119,2,59.5,1,0,1,1,3,7,1,1,0,0,1,0,1,1,60064,0,0,2,-79.8954,-2.21691,0,0.050000000745058,0.527621533177827
"72",9522,2,1,2,1,2,3,1,3,7,1,1,1,0,1,0,1,0,8820,1,1,1,-79.89667,-2.21641,0,0.050000000745058,0.527621533177827
"73",9787,105,1,105,1,2,3,0,0,7,1,0,1,0,1,1,0,1,108000,0,0,1,-79.88698,-2.22172,0,0.050000000745058,0.527621533177827
"74",9678,16,1,16,1,2,2,0,0,7,1,0,1,0,1,0,0,1,115200,0,0,1,-79.88661,-2.2217,0,0.050000000745058,0.527621533177827
"75",10588,1,1,1,1,2,2,1,3,7,1,1,0,0,1,0,0,1,96768,1,0,1,-79.89389,-2.21652,0,0.050000000745058,0.527621533177827
"76",8503,3,1,3,1,0,3,1,3,7,1,1,0,0,1,0,1,1,900,1,1,1,-79.895,-2.21593,0,0.050000000745058,0.527621533177827
"77",36857,1,1,1,1,1,4,0,0,3,1,1,0,0,1,1,0,0,350,1,1,1,-79.91303,-2.21067,0,0.100000001490116,0
"78",25444,3,1,3,1,0,4,0,0,3,1,0.83,0,0,1,0,1,0.49,0,1,0,1,-79.92467,-2.20544,0,0,0
"79",15778,17,1,17,1,0,2,1,2,4,0,1,0,0,1,1,1,1,201840,1,0,1,-79.91007,-2.2199,0.169591813471279,6.9920856139479,0
"80",16114,3,1,3,1,0,3,1,3,4,1,1,0,0,1,0,0,1,371200,1,0.215,1,-79.90877,-2.22129,0.169591813471279,6.9920856139479,0
"81",15513,10,1,10,1,0,6,1,12,4,1,1,0,0,1,1,0,1,41070,1,1,1,-79.91221,-2.21974,0.169591813471279,6.9920856139479,0
"82",15435,8,1,8,1,0,2,1,12,4,0,1,0,0,1,0,1,1,2560,0,0,1,-79.91332,-2.21943,0.169591813471279,6.9920856139479,0
"83",15417,3,1,3,1,0,7,1,1,4,0,1,0,0,1,1,0,1,32856,1,0,1,-79.21341,-2.21908,0.169591813471279,6.9920856139479,0
"84",16152,5,1,5,1,0,4,0,1.13,3.13,0.74,0.99,0.2,0.14,0.84,0,0.45,0.688,1728,0,1,1,-79.90823,-2.2212,0.169591813471279,6.9920856139479,0
"85",15868,12,1,12,1,0,1,1,2,4,1,1,0,0,1,1,1,1,485980,0,0,1,-79.9087,-2.2078,0.169591813471279,6.9920856139479,0
"86",29940,1,1,1,1,0,4,0,0,3,1,0.874,1,1,0.75,0,0.3025,0.326666666666667,0,1,0,23,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"87",29955,1,1,1,1,2,4,0,0,3,1,0.864,0.65,1,1,0,0.3425,0.276666666666667,0,1,0,29,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"88",29800,17,1,17,1,0,5,0,0,3,1,0.79,0,1,0.58,0,0.27,0.246666666666667,0,1,1,104,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"89",30396,9,2,4.5,1,0,0,0,0,3,1,0.83,0.43,0.4315,0.54,0,0.3,0.24,0,1,1,128,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"90",30625,131,4,32.75,1,4,9,0,0,3,1,0.733333333333333,1,0,0.565,0,0.4,0.461666666666667,192000,1,0,84,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"91",29819,7,1,7,1,0,4,0,0,3,1,0.8,0,0,0.45,0,0.31,0.206666666666667,0,1,0,92,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"92",30602,52,1,52,1,0,3,0,0,3,1,0.84,0.39,1,0.63,0,0.28,0.23,0,1,1,117,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"93",30103,2,1,2,1,0,2,0,0,3,1,0.844,0.46,0,0.6675,0,0.2825,0.326666666666667,0,1,1,18,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"94",30264,21,3,7,1,3,1,0,0,3,1,0.76,0.48,0,0.5,0,0.24,0.19,0,1,1,120,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"95",29932,12,1,12,1,0,2,0,0,3,1,0.82,1,1,0.66,0,0.24,0.256666666666667,0,1,0,67,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"96",30012,2,1,2,1,2,10,0,0,3,1,0.864,0,1,0.76,0,0.2825,0.246666666666667,0,1,0,104,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"97",30082,7,1,7,1,0,2,0,0,3,1,0.87,0,1,0.6095,0,0.35,0.386666666666667,0,0.98,0.57,1,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"98",30528,7,1,7,1,1,3,0,0,3,1,0.85,0.37,1,0.6,0,0.26,0.236666666666667,0,1,1,92,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"99",30569,2,1,2,0,1,5,0,0,3,1,0.844,0.61,1,0.77,0,0.2725,0.276666666666667,0,1,0,29,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"100",30503,5,1,5,1,0,2,0,0,3,1,0.86,0.43,1,0.68,0,0.26,0.306666666666667,0,1,1,64,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"101",30181,2,1,2,1,0,3,0,0,3,1,0.864,0.54,1,0.79,0,0.2525,0.286666666666667,0,1,1,64,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"102",42560,9,1,9,1,1.55333333333333,1,1,6,0,0,0,0,0,0,1,0,1,252000,1,0,1,-79.96851,-2.0963,0.050000000745058,0,0
"103",43531,24,1,24,1,0,1,1,2,3,0,1,1,0,1,0.74,1,1,450000,1,0,1,999999,999999,0,0,1.61805299200048
"104",42071,1,1,1,1,2,3,1,24,3,0,1,0,0,1,1,0,1,252000,1,0,23,-79.95724,-2.09547,0,0,1.61805299200048
"105",42072,4,1,4,1,2,3,1,24,3,0,1,0,0,1,1,0,1,108000,0,0,1,-79.95715,-2.0955,0,0,1.61805299200048
"106",42070,1,1,1,1,1,3,1,24,0,0,1,0,0,1,1,0,1,144000,0,0,1,-79.95718,-2.09532,0,0,1.61805299200048
"107",37288,7,1,7,1,1,5,1,2,3,1,0,0,0,0,1,0,1,8e+05,1,0,1,-79.95107,-2.118165,39.6577286507866,18.0991417865617,12.8008587692668
"108",37233,42,1,42,1,0,5,1,3,3,1,0,0,0,0,1,0,1,100920,1,0,1,-79.95156,-2.11758,39.6577286507866,18.0991417865617,12.8008587692668
"109",37293,15,1,15,1,1,7,1,2,3,1,0,0,0,0,1,0,1,67280,0,0,1,-79.951,-2.11776,39.6577286507866,18.0991417865617,12.8008587692668
"110",37298,24,2,12,1,2,3,1,2,3,1,0,0,0,0,1,0,1,148016,1,0,2,-79.95096,-2.11791,39.6577286507866,18.0991417865617,12.8008587692668
"111",37058,35,2,17.5,1,1,4,1,2,3,1,0,0,0,0,1,0,1,9000,1,0,2,-79.9522,-2.11906,39.6577286507866,18.0991417865617,12.8008587692668
"112",36995,8,1,8,1,0,2,1,3,3,1,0,0,0,0,1,0,1,1500,1,0,1,-79.95249,-2.117515,39.6577286507866,18.0991417865617,12.8008587692668
"113",37286,5,1,5,1,0,4,1,12,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95111,-2.118355,39.6577286507866,18.0991417865617,12.8008587692668
"114",37180,15,1,15,1,7,4,0,0,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9519,-2.11889,39.6577286507866,18.0991417865617,12.8008587692668
